"duracion_laudo_pierde_train.id","duracion_laudo_pierde_train.antig_anos","duracion_laudo_pierde_train.horas","duracion_laudo_pierde_train.sueldo_diario_integrado","duracion_laudo_pierde_train.tipo_de_abogado","duracion_laudo_pierde_train.trab_base","duracion_laudo_pierde_train.gen","duracion_laudo_pierde_train.reinstalacion_t","duracion_laudo_pierde_train.rec_hr_extra","duracion_laudo_pierde_train.rec_20_d_ias_t","duracion_laudo_pierde_train.sarimssinfo","duracion_laudo_pierde_train.cod_imss","duracion_laudo_pierde_train.y"
2302,-0.644262194099906,-0.0297899983794877,0.377487848258351,"0","0","0","0","1","0","0","1",4.33698630136986
2326,0.626384998300048,0.392376835798397,3.21076213104941,"0","0","0","0","1","0","1","0",4.7972602739726
2329,-0.115322987279318,0.392376835798397,3.21076213104941,"0","0","1","0","1","0","1","0",4.7972602739726
2330,-0.513021639014298,-0.0297899983794877,-0.106233817106103,"0","0","1","1","1","0","0","0",3.29315068493151
2341,2.1205388329498,-0.451956832557372,-0.471186296301913,"1","0","0","0","0","0","0","0",4.02739726027397
2347,-0.524554899946112,-0.0297899983794877,0.515702923173056,"0","0","0","0","1","0","0","0",1.86027397260274
2352,-0.439049689794785,-0.487137402072196,-0.427443412235612,"0","0","0","0","1","0","0","0",2.86849315068493
2360,-0.604890027675836,0.814543669976282,-0.195087846067319,"0","0","0","0","1","0","1","0",3.12054794520548
2361,-0.418369359963211,0.814543669976282,-0.451761138780527,"0","0","0","0","1","0","1","0",1.3013698630137
2367,-0.590572876209312,1.41261335172829,-0.462334063365273,"0","0","0","0","1","0","0","0",5.17808219178082
2372,-0.582221204460023,-0.733401388675962,-0.093525576379732,"0","0","0","0","1","1","1","0",5.32328767123288
2379,0.181360207039524,-1.29629050091314,-0.079428343600071,"0","0","0","0","0","0","0","0",5.59178082191781
2382,-0.378997193393981,0.286835127253926,-0.0618275338501708,"0","0","0","0","1","0","0","0",2.67397260273973
2384,0.066027598011703,3.34754467504359,-0.417202187245682,"0","0","0","0","1","0","0","0",5.27945205479452
2387,2.13246979238427,0.392376835798397,0.101078429653617,"0","0","0","0","1","1","0","0",3.56438356164384
2388,0.0548920357277045,0.392376835798397,-0.194921996269911,"0","0","0","0","1","0","1","0",5.14520547945205
2401,-0.610060110097439,-1.29629050091314,-0.653952773045282,"0","0","1","0","0","0","0","0",4.00821917808219
2403,-0.583811999051286,-1.29629050091314,-0.653952773045282,"0","0","1","0","0","0","0","0",4.00821917808219
2404,-0.536088160877926,-1.29629050091314,-0.653952773045282,"0","0","1","0","0","0","0","0",4.00821917808219
2407,-0.536088160877926,-1.29629050091314,-0.653952773045282,"0","0","1","0","0","0","0","0",4.00821917808219
2409,-0.534497366286664,-1.29629050091314,-0.653952773045282,"0","0","0","0","0","0","0","0",4.00821917808219
2423,1.54467118481601,0.392376835798397,0.308390676413336,"0","0","1","1","1","1","1","0",1.00547945205479
2424,1.22651226366028,0.392376835798397,0.308390676413336,"0","0","1","1","1","1","1","0",1.00547945205479
2426,3.55901485632473,0.392376835798397,0.308390676413336,"0","0","1","1","1","1","1","0",1.00547945205479
2427,0.0234738422599473,0.392376835798397,0.308390676413336,"0","0","1","1","1","1","1","0",1.00547945205479
2431,-0.551996106935713,0.392376835798397,0.308390676413336,"0","0","1","1","1","1","1","0",1.00547945205479
2438,-0.309797627948256,-0.733401388675962,-0.641410382116319,"0","0","1","0","1","0","0","0",6.00547945205479
2441,-0.553984600174791,0.392376835798397,-0.493223588132471,"0","0","0","0","1","0","1","0",1.57260273972603
2464,-0.644262194099906,-0.0297899983794877,0.0319605265839263,"0","0","1","0","1","0","0","0",3.33424657534247
2467,-0.0906656708244271,0.814543669976282,-0.372775172765074,"0","0","0","0","1","0","0","0",3.85479452054795
2475,-0.68880444309074,0.673821391916987,0.898567180488905,"0","0","0","1","1","1","0","0",2.66849315068493
2484,-0.655397756383905,-1.0852070838242,-0.610458663675092,"1","0","0","0","0","0","0","0",5.31232876712329
2485,2.10304009302655,-0.733401388675962,-0.629759433848422,"1","0","0","0","0","0","0","0",2.37260273972603
2486,0.954884084008663,-0.311234554498078,4.50161256672348,"0","0","0","0","1","0","1","0",3.83561643835616
2489,0.103411271196695,-1.01484594479455,-0.135257531652464,"0","0","0","0","1","1","1","0",5.9041095890411
2494,2.22831516708849,-0.874123666735257,-0.38195910529653,"0","0","0","0","0","1","1","0",4.21369863013699
2500,-0.649829975314485,-0.0297899983794877,3.00344988428969,"0","0","0","1","1","0","0","0",3.86027397260274
